Date,Open,High,Low,Close
2015-06-30,248.35,262.41,248.35,262.41
2015-07-03,257.51,257.51,254.65,255.16
2015-07-07,260.42,271.04,260.42,265.38
2015-07-11,269.61,291.89,268.89,291.89
2015-07-15,310.19,310.19,283.95,283.95
2015-07-19,276.68,278.37,272.81,272.81
2015-07-23,277.25,277.25,274.94,275.61
2015-07-27,288.44,292.61,288.39,292.61
2015-07-31,293.99,293.99,283.68,283.68
2015-08-03,280.7,281.83,280.7,281.83
2015-08-07,284.24,284.24,278.01,278.51
2015-08-11,259.8,269.87,259.8,269.87
2015-08-15,267.71,267.71,260.48,260.48
2015-08-19,257.82,257.82,225.96,225.96
2015-08-23,234.64,234.64,227.25,227.25
2015-08-27,210.09,225.27,210.09,222.97
2015-08-31,231.66,231.66,228.07,230.08
2015-09-03,227.16,228.64,226.57,226.57
2015-09-07,230.05,240.5,230.05,240.5
2015-09-11,243.56,243.56,237.95,240.0
2015-09-15,234.91,234.91,229.91,229.91
2015-09-19,228.46,232.75,228.46,231.27
2015-09-23,230.66,230.66,226.45,229.87
2015-09-27,233.93,234.98,232.83,232.83
2015-09-30,239.28,239.28,236.05,236.05
2015-10-03,237.74,238.97,237.26,238.97
2015-10-07,238.66,246.44,238.66,243.22
2015-10-11,242.9,247.54,242.9,247.54
2015-10-15,245.57,254.63,245.57,254.63
2015-10-19,262.37,270.36,262.23,264.21
2015-10-23,270.27,277.39,267.02,277.39
2015-10-27,282.96,294.81,282.96,294.81
2015-10-31,303.64,325.8,303.64,312.28
2015-11-03,325.0,398.24,325.0,398.24
2015-11-07,404.36,404.36,372.83,387.06
2015-11-11,371.5,380.64,305.98,305.98
2015-11-15,337.96,337.96,320.48,320.48
2015-11-19,331.35,335.45,325.57,325.57
2015-11-23,321.42,325.16,321.42,322.83
2015-11-27,319.98,359.01,319.98,359.01
2015-11-30,356.21,378.27,356.21,378.27
2015-12-03,363.45,363.45,358.82,360.95
2015-12-07,362.77,394.36,362.77,394.36
2015-12-11,412.93,452.41,412.93,452.41
2015-12-15,434.9,465.0,434.9,465.0
2015-12-19,453.91,463.82,453.91,462.05
2015-12-23,441.13,442.82,436.24,442.82
2015-12-27,454.91,455.74,417.09,423.93
2015-12-31,420.71,432.15,420.71,431.14
2016-01-03,434.43,434.43,430.2,430.2
2016-01-07,433.53,456.43,431.34,456.43
2016-01-11,454.7,454.7,447.21,448.35
2016-01-15,445.79,445.79,365.91,365.91
2016-01-19,384.81,386.36,379.02,379.02
2016-01-23,418.85,418.85,377.21,389.64
2016-01-27,403.06,403.06,392.33,394.49
2016-01-31,379.55,379.55,364.35,364.35
2016-02-03,371.04,372.87,368.12,368.12
2016-02-07,388.38,388.38,374.9,375.52
2016-02-11,371.14,379.83,371.14,377.06
2016-02-15,382.72,404.14,382.72,399.38
2016-02-19,407.01,421.42,407.01,419.38
2016-02-23,441.12,441.12,420.3,420.3
2016-02-27,423.19,432.14,423.14,432.14
2016-02-29,432.8,436.92,432.8,436.92
2016-03-03,431.37,431.37,420.17,420.17
2016-03-07,409.41,413.74,397.24,413.74
2016-03-11,411.88,419.3,411.88,419.3
2016-03-15,410.8,415.64,410.8,415.64
2016-03-19,416.54,418.4,406.74,406.74
2016-03-23,411.88,418.08,411.09,418.08
2016-03-27,414.88,425.35,414.88,425.35
2016-03-31,422.76,422.76,412.6,415.37
2016-04-03,416.75,419.67,416.75,418.19
2016-04-07,419.44,422.65,419.44,421.08
2016-04-11,418.47,422.58,416.15,422.58
2016-04-15,426.18,429.97,424.27,429.97
2016-04-19,430.94,436.37,428.03,436.37
2016-04-23,441.92,451.82,441.92,451.82
2016-04-27,459.92,467.86,444.79,444.79
2016-04-30,449.38,456.57,447.9,447.9
2016-05-03,452.59,452.59,444.49,450.3
2016-05-07,447.12,461.62,447.12,459.25
2016-05-11,459.28,461.75,450.33,452.18
2016-05-15,454.73,457.84,454.73,457.84
2016-05-19,454.89,454.89,440.54,440.54
2016-05-23,441.89,443.18,438.68,443.18
2016-05-27,445.77,473.86,445.77,473.86
2016-05-31,528.55,534.22,524.62,531.41
2016-06-03,539.17,570.44,538.83,570.44
2016-06-07,573.53,585.56,573.53,577.91
2016-06-11,583.14,597.75,577.61,597.75
2016-06-15,671.71,704.29,671.71,693.23
2016-06-19,765.46,765.46,749.42,764.05
2016-06-23,734.16,734.16,591.9,623.21
2016-06-27,661.42,666.06,629.31,648.3
2016-06-30,646.84,671.62,637.44,671.62
2016-07-03,677.71,693.05,664.75,664.75
2016-07-07,678.7,678.7,638.62,638.62
2016-07-11,665.74,665.74,649.07,649.07
2016-07-15,670.95,670.95,658.15,665.69
2016-07-19,663.5,678.39,663.5,674.56
2016-07-23,670.89,670.89,651.09,655.42
2016-07-27,660.85,660.85,651.31,655.62
2016-07-31,655.89,657.34,623.75,623.75
2016-08-03,605.75,605.75,517.13,567.38
2016-08-07,576.6,592.67,576.03,592.67
2016-08-11,590.71,592.27,585.3,587.61
2016-08-15,586.53,586.53,567.73,567.73
2016-08-19,578.22,578.22,571.46,573.49
2016-08-23,581.95,585.22,580.59,582.0
2016-08-27,577.89,578.1,568.58,568.58
2016-08-31,573.53,576.08,571.76,571.76
2016-09-03,571.59,596.2,571.59,596.2
2016-09-07,608.69,614.33,606.64,614.33
2016-09-11,625.47,625.47,605.32,605.32
2016-09-15,605.83,608.43,605.58,605.58
2016-09-19,606.55,608.8,605.34,608.62
2016-09-23,607.77,607.77,594.96,601.89
2016-09-27,601.27,606.1,599.31,604.21
2016-09-30,603.55,608.26,603.55,608.26
2016-10-03,614.06,614.06,610.36,611.96
2016-10-07,609.24,616.22,609.24,616.22
2016-10-11,616.53,640.7,614.31,640.7
2016-10-15,635.62,638.18,634.62,637.21
2016-10-19,640.19,640.19,628.44,628.44
2016-10-23,628.54,652.09,628.54,649.63
2016-10-27,648.77,683.37,648.77,683.37
2016-10-31,687.56,715.41,687.56,698.58
2016-11-03,729.2,734.16,686.06,686.06
2016-11-07,702.11,712.13,702.11,706.09
2016-11-11,708.94,721.18,708.94,715.64
2016-11-15,703.76,712.16,702.35,712.16
2016-11-19,740.9,750.41,738.48,750.41
2016-11-23,728.37,748.12,728.37,741.17
2016-11-27,736.75,738.2,727.76,727.76
2016-11-30,731.84,742.36,731.81,742.36
2016-12-03,753.06,771.17,753.06,764.83
2016-12-07,766.37,766.37,752.24,763.91
2016-12-11,768.67,773.13,768.23,768.23
2016-12-15,778.43,778.43,775.57,775.57
2016-12-19,781.34,790.12,781.34,790.12
2016-12-23,799.72,917.1,799.72,917.1
2016-12-27,891.68,929.12,891.68,929.12
2016-12-31,977.14,977.14,960.93,966.57
2017-01-03,998.05,1035.53,998.05,1035.53
2017-01-07,1130.85,1130.85,894.03,900.08
2017-01-11,908.09,908.09,784.28,784.28
2017-01-15,799.43,824.5,799.43,821.91
2017-01-19,828.31,904.15,828.31,896.89
2017-01-23,891.46,919.68,891.46,918.91
2017-01-27,885.79,918.29,885.79,918.29
2017-01-31,920.25,968.27,914.14,968.27
2017-02-03,986.57,1015.44,986.57,1015.44
2017-02-07,1033.63,1051.5,1016.93,1051.5
2017-02-11,1055.3,1055.3,981.7,1010.95
2017-02-15,1000.52,1010.1,996.1,1008.88
2017-02-19,1034.9,1058.58,1034.9,1053.5
2017-02-23,1082.02,1185.65,1082.02,1185.65
2017-02-27,1180.87,1193.13,1149.4,1193.13
2017-02-28,1190.33,1289.54,1190.33,1289.54
2017-03-07,1268.81,1280.99,1233.06,1233.06
2017-03-11,1149.63,1191.24,1100.01,1181.2
2017-03-15,1230.56,1258.46,1230.56,1258.46
2017-03-19,1217.31,1217.31,961.96,1023.49
2017-03-23,1036.33,1112.7,1029.14,1029.14
2017-03-27,940.02,1042.61,940.02,1042.61
2017-03-31,1044.72,1078.27,1031.49,1078.27
2017-04-03,1085.25,1139.31,1085.25,1139.31
2017-04-07,1140.5,1194.21,1132.34,1189.78
2017-04-11,1182.27,1226.62,1182.27,1226.62
2017-04-15,1218.3,1218.3,1174.21,1180.32
2017-04-19,1186.31,1225.72,1186.31,1225.72
2017-04-23,1253.9,1254.99,1247.84,1247.84
2017-04-27,1249.96,1331.31,1249.96,1331.31
2017-04-30,1321.21,1349.89,1321.21,1349.89
2017-05-03,1408.45,1485.82,1408.45,1485.82
2017-05-07,1499.36,1557.88,1499.36,1557.88
2017-05-11,1633.38,1808.78,1633.38,1808.78
2017-05-15,1700.77,1767.71,1696.13,1696.13
2017-05-19,1716.32,1972.9,1716.32,1972.9
2017-05-23,2043.42,2292.7,2043.42,2292.7
2017-05-27,2448.13,2448.13,2082.85,2082.85
2017-05-31,2219.49,2329.08,2167.64,2329.08
2017-06-03,2436.04,2562.54,2436.04,2562.54
